Time,Type,Value
0,Seed,1737432596
0,Command,inject nvs nvs2048Save blob 000000000400000002000000100000000000000002000000200000004000000000000000000000001000000020000000000000000200000004000000040000008C020000
0,SetMode,2048
170000,BtnDown,A
170000,BtnUp,A
340000,BtnDown,A
340000,BtnUp,A
1434756,BtnDown,Down
1600429,BtnUp,Down
1937851,BtnDown,Down
1972141,BtnDown,Left
2172009,BtnUp,Down
2172009,BtnUp,Left
2422301,BtnDown,Down
2654780,BtnUp,Down
2738473,BtnDown,Right
2973284,BtnUp,Right
3190548,BtnDown,Down
3573161,BtnUp,Down
3806241,BtnDown,Right
4075121,BtnUp,Right
4323831,BtnDown,Down
4540854,BtnUp,Down
4756784,BtnDown,Right
5025558,BtnUp,Right
5291870,BtnDown,Down
5641790,BtnUp,Down
5741836,BtnDown,Left
6007687,BtnUp,Left
6175006,BtnDown,Down
6540573,BtnUp,Down
6823954,BtnDown,Left
7090586,BtnUp,Left
7273853,BtnDown,Down
7673667,BtnUp,Down
7823973,BtnDown,Right
8108448,BtnUp,Right
8241715,BtnDown,Down
8541773,BtnUp,Down
8708140,BtnDown,Down
9009170,BtnUp,Down
9276274,BtnDown,Right
9508440,BtnUp,Right
9708556,BtnDown,Down
10008564,BtnUp,Down
10341664,BtnDown,Down
10574682,BtnUp,Down
10890933,BtnDown,Right
11090239,BtnUp,Right
11507084,BtnDown,Down
11675569,BtnUp,Down
11856814,BtnDown,Left
12057662,BtnUp,Left
12341562,BtnDown,Down
12675327,BtnUp,Down
12973787,BtnDown,Right
13306590,BtnUp,Right
13657658,BtnDown,Down
14024371,BtnUp,Down
14191088,BtnDown,Left
14573667,BtnUp,Left
14774719,BtnDown,Down
15191171,BtnUp,Down
15424443,BtnDown,Down
15858822,BtnUp,Down
16074139,BtnDown,Left
16457953,BtnUp,Left
16624517,BtnDown,Down
17008095,BtnUp,Down
17058691,BtnDown,Left
17374736,BtnUp,Left
17606750,BtnDown,Left
17956412,BtnUp,Left
18156137,BtnDown,Left
18555846,BtnUp,Left
18955676,BtnDown,Left
19224369,BtnUp,Left
19324089,BtnDown,Right
19522872,BtnUp,Right
19840480,BtnDown,Down
20323144,BtnUp,Down
20656688,BtnDown,Left
21056522,BtnUp,Left
21490019,BtnDown,Down
21889606,BtnUp,Down
22040945,BtnDown,Left
22341452,BtnUp,Left
22456956,BtnDown,Down
22790866,BtnUp,Down
22989515,BtnDown,Down
23305674,BtnUp,Down
23474139,BtnDown,Left
23740539,BtnUp,Left
23891397,BtnDown,Down
24340904,BtnUp,Down
24958147,BtnDown,Right
25156874,BtnUp,Right
25474555,BtnDown,Down
25741450,BtnUp,Down
26040666,BtnDown,Left
26324869,BtnUp,Left
26507366,BtnDown,Down
26940506,BtnUp,Down
27490614,BtnDown,Left
27790075,BtnUp,Left
28073688,BtnDown,Down
28390135,BtnUp,Down
28488420,BtnDown,Left
28738661,BtnUp,Left
29005606,BtnDown,Down
29372578,BtnUp,Down
29555674,BtnDown,Down
29889806,BtnUp,Down
30188378,BtnDown,Down
30505775,BtnUp,Down
30539496,BtnDown,Left
30772720,BtnUp,Left
30989146,BtnDown,Left
31205685,BtnUp,Left
31388893,BtnDown,Down
31705502,BtnUp,Down
31773159,BtnDown,Left
32039795,BtnUp,Left
32156002,BtnDown,Down
32456691,BtnUp,Down
32540534,BtnDown,Left
32789821,BtnUp,Left
32905648,BtnDown,Down
33223874,BtnUp,Down
33323503,BtnDown,Left
33606265,BtnUp,Left
33906533,BtnDown,Left
34189622,BtnUp,Left
34456213,BtnDown,Down
34787463,BtnUp,Down
35002659,BtnDown,Right
35370634,BtnUp,Right
35503255,BtnDown,Down
35853512,BtnUp,Down
35954354,BtnDown,Right
36236777,BtnUp,Right
36440375,BtnDown,Down
36888823,BtnUp,Down
37121631,BtnDown,Down
37471678,BtnUp,Down
37555668,BtnDown,Right
37855462,BtnUp,Right
38104675,BtnDown,Down
38606738,BtnUp,Down
39072576,BtnDown,Right
39421416,BtnUp,Right
39573436,BtnDown,Right
39856092,BtnUp,Right
39956353,BtnDown,Right
40172502,BtnUp,Right
40422098,BtnDown,Right
40674049,BtnUp,Right
40857011,BtnDown,Right
41105813,BtnUp,Right
41224361,BtnDown,Down
41389796,BtnUp,Down
41539520,BtnDown,Down
41822686,BtnUp,Down
41905943,BtnDown,Right
42123736,BtnUp,Right
42272503,BtnDown,Right
42473839,BtnUp,Right
42638904,BtnDown,Right
42839386,BtnUp,Right
43105832,BtnDown,Down
43306439,BtnUp,Down
43440758,BtnDown,Right
43656521,BtnUp,Right
43856372,BtnDown,Right
44022613,BtnUp,Right
44272722,BtnDown,Down
44455285,BtnUp,Down
44556108,BtnDown,Left
44757002,BtnUp,Left
44956403,BtnDown,Down
45272811,BtnUp,Down
45340685,BtnDown,Right
45524495,BtnUp,Right
45706412,BtnDown,Down
45973837,BtnUp,Down
46074039,BtnDown,Left
46440667,BtnUp,Left
46573112,BtnDown,Down
46940173,BtnUp,Down
47057133,BtnDown,Right
47323159,BtnUp,Right
47555374,BtnDown,Down
47923218,BtnUp,Down
48389561,BtnDown,Down
48455668,BtnUp,Down
48623660,BtnDown,Right
48856714,BtnUp,Right
49554368,BtnDown,Right
49804198,BtnUp,Right
51187296,BtnDown,Left
51387324,BtnUp,Left
51804665,BtnDown,Down
52122548,BtnUp,Down
52289313,BtnDown,Down
52538208,BtnUp,Down
52756474,BtnDown,Down
53005732,BtnUp,Down
53156651,BtnDown,Left
53442704,BtnUp,Left
53605718,BtnDown,Down
