Time,Type,Value
0,Seed,1737355189
0,Command,inject nvs _attract int 1
0,SetMode,Big Bug
212651,AccelZ,0
328152,BtnDown,Down
328152,BtnDown,Right
328152,AccelZ,256
2151452,BtnUp,Right
2917091,BtnDown,Right
3802308,BtnUp,Right
4851415,BtnDown,Right
4901705,BtnUp,Right
5034887,BtnDown,Left
5301660,BtnUp,Left
5518142,BtnDown,Right
5584665,BtnUp,Right
5634532,BtnDown,Right
6035039,BtnUp,Right
6599249,BtnDown,Left
6783207,BtnUp,Left
6832955,BtnDown,Right
7332869,BtnUp,Right
8324084,BtnDown,Left
8657099,BtnUp,Left
8675193,BtnDown,Right
9662190,BtnUp,Right
9828889,BtnDown,Right
13267984,BtnUp,Right
13634429,BtnDown,Right
14184528,BtnUp,Right
14469261,BtnDown,Right
15054266,BtnUp,Right
17053410,BtnDown,Right
17925051,BtnUp,Right
18258533,BtnDown,Left
18925755,BtnUp,Left
19342741,BtnDown,Right
19813406,BtnUp,Right
20030215,BtnDown,Right
20196701,BtnUp,Right
20363499,BtnDown,Left
21166126,BtnUp,Left
23183740,BtnDown,Left
23767759,BtnUp,Left
24017464,BtnDown,Left
24133868,BtnUp,Left
27383176,BtnDown,Right
29510522,BtnUp,Down
29510522,BtnUp,Right
30000000,Command,attract end
