Time,Type,Value
0,SetMode,Swadge
0,Seed,4294967295
19651,AccelZ,0
31453,AccelX,-81
31453,AccelY,124
31453,AccelZ,226
39967,AccelX,-60
39967,AccelZ,237
56750,AccelX,-44
56750,AccelY,121
56750,AccelZ,242
73974,AccelX,-31
73974,AccelY,118
73974,AccelZ,248
90065,AccelX,-18
90065,AccelY,116
90065,AccelZ,253
106678,AccelX,-7
106678,AccelY,110
106678,AccelZ,255
123547,AccelX,0
140480,AccelY,113
157948,AccelY,116
192763,AccelY,113
207057,AccelY,110
223712,AccelY,105
240029,AccelY,102
273380,AccelY,100
307608,AccelY,97
323632,AccelY,87
339836,AccelY,79
357049,AccelY,76
392047,AccelY,60
407056,AccelY,55
424033,AccelY,52
440171,AccelY,47
456872,AccelY,42
473331,AccelY,34
490018,AccelY,29
507283,BtnDown,A
523495,AccelY,13
539815,AccelY,10
606614,BtnUp,A
622969,AccelY,21
639797,AccelY,23
656486,AccelY,26
706753,AccelY,23
723630,AccelY,18
757473,AccelY,21
773499,AccelY,23
791605,AccelY,26
823708,AccelY,29
856716,AccelY,31
906706,AccelY,34
956644,AccelY,36
1006636,AccelY,34
1073952,AccelY,36
1140712,AccelY,34
1173227,AccelY,31
1241234,AccelY,34
1256576,AccelY,31
1272569,AccelY,34
1323693,AccelY,36
1691810,AccelY,34
1706897,BtnDown,Down
1723422,AccelY,26
1757694,AccelY,23
1773575,AccelY,26
1791988,AccelY,29
1806586,AccelY,31
1824110,BtnUp,Down
1840190,AccelY,34
1857050,AccelY,36
1924781,AccelY,34
1940011,BtnDown,A
1956773,AccelY,31
1974152,AccelY,29
1990378,AccelY,31
2026889,AccelY,34
2041903,BtnUp,A
2057820,AccelY,36
2159971,AccelY,34
2592325,BtnDown,Down
2607749,AccelY,29
2657719,AccelY,31
2692782,AccelY,34
2707450,BtnUp,Down
2742280,AccelY,36
2776220,AccelY,39
2842378,AccelY,36
2875634,AccelY,34
2890751,BtnDown,A
2890751,AccelY,31
2906873,AccelY,29
2957672,AccelY,31
2974742,BtnUp,A
2991442,AccelY,34
3042462,AccelY,36
3275813,AccelY,34
3309761,AccelY,31
3357811,AccelY,29
3374695,AccelY,26
3408238,AccelY,23
3443471,AccelY,21
3458199,AccelY,18
3474853,AccelY,13
3491210,AccelY,7
3507715,AccelY,5
3524899,AccelY,2
3592959,AccelY,5
3607954,AccelY,7
3624644,AccelY,10
3657935,AccelY,13
3674354,AccelY,15
3691523,AccelY,18
3707689,AccelY,21
3744257,AccelY,23
3825003,AccelY,26
3858643,AccelY,29
3874421,AccelY,31
3908458,AccelY,34
3942796,AccelY,39
3974863,AccelY,42
3990832,AccelY,44
4041756,AccelY,42
4058279,AccelY,39
4074472,AccelY,36
4091171,AccelY,34
4107913,AccelY,39
4124507,AccelY,47
4141064,AccelY,55
4157605,AccelY,58
4191024,AccelY,55
4207570,AccelY,52
4241702,AccelY,50
4258348,AccelY,44
4274439,AccelY,39
4291509,AccelY,31
4307774,AccelY,23
4324722,AccelY,18
4341496,AccelY,15
4357828,AccelY,18
4374688,AccelY,15
4391392,AccelY,13
4409111,AccelY,10
4443464,AccelY,7
4475129,AccelY,5
4574987,AccelY,7
4590863,AccelY,10
4641734,AccelY,13
4692937,AccelY,15
4725522,AccelY,18
4774711,AccelY,21
4842523,AccelY,23
4891588,AccelY,26
4924797,AccelY,29
4958163,AccelY,31
4992727,AccelY,34
5026892,AccelY,36
5075450,AccelY,39
5208676,AccelY,36
5242362,AccelY,34
5258708,AccelY,31
5275115,AccelY,29
5291541,AccelY,26
5308427,AccelY,23
5344038,AccelY,18
5392239,AccelY,15
5441881,AccelY,18
5510313,AccelY,21
5542670,AccelY,23
5592033,AccelY,26
5642038,AccelY,29
5691675,AccelY,31
5760129,AccelY,34
5824637,AccelY,36
5840107,AccelY,34
5856422,AccelY,31
5872858,BtnDown,Right
5889688,AccelY,26
5906151,AccelY,21
5923165,AccelY,18
5957511,BtnUp,Right
5973053,AccelY,21
6006517,AccelY,23
6022712,AccelY,29
6039793,AccelY,34
6056300,AccelY,36
6072686,AccelY,39
6089547,AccelY,42
6105985,AccelY,44
6141339,AccelY,47
6173909,AccelY,50
6222986,AccelY,52
6257200,AccelY,55
6272859,AccelY,58
6306720,AccelY,60
6322928,AccelY,63
6391726,AccelY,65
6442244,AccelY,68
6506455,AccelY,71
6573336,AccelY,73
6606262,AccelY,71
6622886,BtnDown,Up
6622886,AccelY,68
6639591,AccelY,60
6656270,AccelY,52
6674021,AccelY,39
6689681,BtnUp,Up
6706228,AccelY,29
6773899,AccelY,31
6791696,AccelY,36
6806855,AccelY,39
6823323,AccelY,42
6841120,AccelY,44
6856698,AccelY,47
6890749,AccelY,50
6923779,AccelY,52
6973392,AccelY,55
7023511,AccelY,58
7073871,AccelY,60
7090492,AccelY,63
7124002,AccelY,65
7173774,AccelY,68
7392171,AccelY,65
7406667,BtnDown,Right
7423767,AccelY,58
7441249,AccelY,52
7475246,AccelY,50
7508983,BtnUp,Right
7542520,AccelY,55
7575088,AccelY,63
7607253,AccelY,65
7657031,AccelY,68
7724082,AccelY,71
7773907,AccelY,73
7824448,AccelY,76
7892141,AccelY,79
7942555,AccelY,81
7990648,AccelY,84
8110143,BtnDown,Up
8110143,AccelY,81
8125215,AccelY,79
8141169,AccelY,76
8157959,AccelY,71
8174429,AccelY,65
