Time,Type,Value
0,Seed,1737477403
0,Command,inject nvs _attract int 1
0,SetMode,Ultimate TTT
654448,BtnDown,Down
701527,BtnUp,Down
984843,BtnDown,Down
1116442,BtnUp,Down
1299688,BtnDown,A
1434007,BtnUp,A
1616021,BtnDown,Down
1716059,BtnUp,Down
1869059,BtnDown,Down
1985377,BtnUp,Down
2085868,BtnDown,A
2270631,BtnUp,A
2752419,BtnDown,Right
2904004,BtnUp,Right
3037370,BtnDown,Down
3052682,BtnDown,Right
3170717,BtnUp,Down
3186310,BtnUp,Right
3288191,BtnDown,B
3353527,BtnUp,B
3688756,BtnDown,A
3770884,BtnUp,A
4353883,BtnDown,A
4488097,BtnUp,A
6054733,BtnDown,Left
6188961,BtnUp,Left
7070249,BtnDown,A
7203797,BtnUp,A
7652778,BtnDown,Down
7669033,BtnDown,Right
7770590,BtnUp,Right
7786006,BtnUp,Down
9171292,BtnDown,Down
9171292,BtnDown,Right
9254290,BtnUp,Down
9271286,BtnUp,Right
10003774,BtnDown,Left
10087731,BtnUp,Left
10403810,BtnDown,A
10571206,BtnUp,A
13488204,BtnDown,Right
13654851,BtnUp,Right
13788114,BtnDown,Down
13920432,BtnUp,Down
14089419,BtnDown,A
14254006,BtnUp,A
16087814,BtnDown,Down
16237994,BtnUp,Down
16552915,BtnDown,Left
16703126,BtnUp,Left
16870742,BtnDown,A
17003079,BtnUp,A
19503792,BtnDown,Up
19503792,BtnDown,Right
19669948,BtnUp,Right
19686613,BtnUp,Up
20353830,BtnDown,A
20487256,BtnUp,A
22786564,BtnDown,Left
22887258,BtnUp,Left
23487583,BtnDown,Up
23602791,BtnUp,Up
23902858,BtnDown,A
24070480,BtnUp,A
26870676,BtnDown,Right
27020466,BtnUp,Right
27537922,BtnDown,Up
27704109,BtnUp,Up
28370380,BtnDown,A
28520102,BtnUp,A
30270142,BtnDown,Down
30419804,BtnUp,Down
31269876,BtnDown,Right
31419395,BtnUp,Right
31519880,BtnDown,A
31703566,BtnUp,A
33968993,BtnDown,A
34087458,BtnUp,A
36770306,BtnDown,Up
36936731,BtnUp,Up
37237054,BtnDown,A
37385906,BtnUp,A
39802540,BtnDown,Down
39919131,BtnUp,Down
40302344,BtnDown,A
40503564,BtnUp,A
42619794,BtnDown,Left
42753627,BtnUp,Left
43487831,BtnDown,Right
43638435,BtnUp,Right
43970023,BtnDown,A
44103318,BtnUp,A
46452399,BtnDown,Down
46587828,BtnUp,Down
46802783,BtnDown,Right
46852316,BtnDown,Down
46919631,BtnUp,Down
46968724,BtnUp,Right
47620552,BtnDown,Up
47769857,BtnUp,Up
48087987,BtnDown,Up
48219727,BtnUp,Up
48785167,BtnDown,A
48918459,BtnUp,A
51385253,BtnDown,Left
51567612,BtnUp,Left
52417817,BtnDown,A
52517371,BtnUp,A
55368226,BtnDown,Up
55501323,BtnUp,Up
55768515,BtnDown,Left
55917787,BtnUp,Left
56251462,BtnDown,A
56401952,BtnUp,A
58777575,BtnDown,Up
58928933,BtnUp,Up
59161614,BtnDown,Down
59177774,BtnDown,Right
59363289,BtnUp,Down
59363289,BtnUp,Right
59749549,BtnDown,Left
59899854,BtnUp,Left
61050440,Command,attract end
